text,Label,Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@kirsten_currie @DisaffectedPod @CraigR3521 Kirsten, do you think doctors, the 300+ county medical examiner offices, the States and the CDC are lying about the number of people who died...

...PLUS, the same officials in Canada, UK, Mexico, Poland, Brazil, Russia, Belgium, Italy, Peru etc

This is your belief?",government,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@cjartandcraft @JasminGar2005 My son returns to Canada tomorrow.

If he can't provide a negative PCR test, he has to get one at the airport.  Which is as it *should* be.",movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ChaChaC87311797 I read this yesterday. I woke up this morning and took a look at the state-sponsored media in Canada and they were reporting that it was unvaccinated and partially vaccinated that had tested positive.,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TheophanesRex We just simply need to hear the truth about side effects of vaccine from MSM!,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@oldmusicsoull @BogochIsaac You're seeing more vaccine ""failures"" simply because they're 90% of population, even if it's rare. It's just math.  If you have a better solution, please share? Masks and shutdowns clearly weren't the solution!",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@RobertS43498353 That's weird.. 

Canada government stats show that, per case of Covid-19, the vaccinated and the partially vaccinated are dying at a higher rate vs the unvaccinated.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ThatsTh92324187 @greg_scott84 Go away bot. Nobody likes you.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@carol_fraughton @ChristianWalk1r Rates are low and high at some point everywhere .. masks mean nothing,precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@soundslikepuget It would appear so! I've filed complaints with my regular airline for far worse (AC still reseated me before takeoff) and not even gotten as much as a courtesy 'we heard you' response, let alone a credit. So consider me pleasantly surprised!",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I'm all for more masks, tbf work helps with this. Canada defo had it right though:

Masked the whole time on the flight there/back (granted not a Canada thing)
Always on when indoors in any public areas
Proof of vaccination and ID to sit in for events and food (even food courts)",precaution,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CPHO_Canada I really hope the vaccine doesn't turn me into a zombie,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@TorontoIDDoc So Covid flew here and now you say let the NEWEST LETHAR VARIETY a free pass ? GOD you ARE  the classic MORON, unbelievable you want to bring it here Quickly no doubt. Thank the Lord that someone has a brain to  what is needed after open flights AND borders wrought hell in Canada",variant,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@geoff_buxcey @JustinTrudeau He is incompetent and useless!!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ExploreCanada ""Come to the US for Covid, stay for the pauper funeral""ù. Courtesy of the GOP.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The best thing? I didn't see anyone arguing about this and maybe two people needed reminding over the whole week. Canadians rule.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CDNMootz Given the rash of young 20-40 crowd getting covid it would not surprise me if this is the Omicron variant.. don't be surprised if it's already here and has been here at least a month..,variant,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@thejedistyles it gets to the point again where it seems like people care more about being able to say they were at first/last than actually seeing harry at all!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Anothergreen its all in the link I sent you.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@14ReyRey @OneVapid Any reason why I was blocked @onevapid ?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@doctor_nic @scotgov @HumzaYousaf You are very sadly mistaken, long COVID in children is horrific and vaccines do work in this age group, happy to have had my 9 year old vaccinated yesterday",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@aefabo @jeanettemanfre1 @newsmax Now tell us canada is 1.6 times larger than the US.  And while we have 330 million people they have 38 million.   It's called.... population density.,covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MarkLevineNYC Canada has been doing this for a month.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@MoniqueBLabarre @Cygnus52477072 @QuancyClayborne There are no exclusions in trustworthy Canadian Travel Insurance. Tell them to buy the ""Canadian Snowbird travel insurance"". There are no exclusions for travel anywhere in the US, and even covid is covered. 
You get what you pay for.",movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@geoff_buxcey @PureBlood1710 @JustinTrudeau Thanks Toronto,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @TheLaurenChen The primary difference between last year and this would most likely be the vaccine. Definitely worth looking into given Canada has reported something similar with increased stillbirths"" ",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@noplaceforsheep Name five countries which have purpose built quarantine facilities for COVID.

How about:
NZ? Nope.
USA? Nope.
Canada? Nope.
Europe? Nope.
Africa? Nope",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@tombrodbeck I pinned a tweet to my profile in Sept. that included the adverse effects number (VAERS) because we so often see people quoting vaccine risks, when even if you include the non-related adverse events, the unvaxxed risk is still higher by far. Anti-vaxxers do not understand this.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank goodness Canada's politics are only #corrupt when 1 party is in. Imagine if it the system was easily taken advantage by all parties? Wow! Then we'd be in trouble. #cdnpoli #onpoli #generalstrike #accountability #healthcare #education #Canada #Ontario #covid #ClimateAction,government,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@carol_fraughton @ChristianWalk1r Hmmm which means you're bowing down and complying. Bravo  ëè èº (slow clap). Yeah, pick your battles. Naught wanna do your homework on the stats though. I'm with Christian and will choose freedom. Thanks",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@TheEliKlein I can clearly tell you are not Canadian! I'm all for limited state, smaller government but the policy employed here at 3 levels of government have prevented disaster.",government,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ChrisBottaNHL @IslesFix It would have been handled differently if the team was Canadian,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In short: #VaccineEquity is complicated. Withholding boosters from HCWs in #Canada isn't going to solve Africa's vaccine challenges overnight. 

We need to do both. We need to do more.",variant,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@profmusgrave Countries that are smart about this (eg Canada) realize that essentially student visas are four-year processes of selecting your future economic migrants and don't fight this basic realoty,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@santiagomayer_ In Canada they'll be blaming Trudeau..,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@carol_fraughton @ChristianWalk1r Hmmm which means you're bowing down and complying. Bravo  ëè èº (slow clap). Yeah, pick your battles. Might wanna do your homework on the stats though. I'm with Christian and will choose freedom. Thanks",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rabble435 @ProNovavax @gold_donkey A lot of people can't have the mRNAs and need a non-mRNA alternate. Even AZ and JandJ are mRNA. @GovCanHealth has a responsibility towards all Canadians. @jyduclos @CPHO_Canada,covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ashleyw68600875 @BorisJohnson covid passport and mask mandates here in Canada we've only ever gone above 10k cases in a day once. 4.69% of our population have had COVID vs 14.89% of uk population, and that numbers going up 1.2% every 2 days when done right it works.",precaution,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@lincolnmjay @BezirganMocha @JustinTrudeau Lincoln, instead of spinning an actual epidemiological development for a vague, trite anti-Trudeau blurt, why not pretend to be an actual reporter and find a real angle on the story that's not just trivial Trudeau-baiting?",government,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@lldgcYYC @CMOH_Alberta Not sure who to trust. Made the mistake of ""trusting the science""ù and have been suffering since. Confident that for myself, Covid would have been much more manageable than whatever is in the vaccine being forced on us. Chime in @CMOH_Alberta. My Dr has no answers so open to ideas",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@redsnoopy69 Check the current state of the nation. Vaccine mandates, sowing societal division, travel restrictions, Bill C36, soaring inflation...The list goes on. You call that freedom and strength?",precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@tekkers1984 @alanneill16 @EssexPR Well my old mum clearly doesn't then. Only thing she's mentioned is her friends in Canada and Australia, but that was about human rights abuses.
Overall, my family (including extended) only read about others. The occasional ""I heard he had covid, but he's okay now""ù speech.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@cjartandcraft @JasminGar2005 Yes , masks are mandated in Ontario Canada  çÅ  
Likely until March 2022""  Or who knows",precaution,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@flatland_drift @chrissaccoccia1 If you choose to take it from the start. I never take the flu vaccine.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Portalpup1 @fembojj That sounds like a good proposal tbh,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@narcoskeptic @arsinoe_86 @WildCougar_ @javeauriel You seem stupid,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada ends Covid-19 policy turning back asylum-seekers between border crossings,movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I think Canada ends Covid-19 policy turning back asylum-seekers between border crossings,movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Mikeggibbs Yes, and unlike the country of origin, we have a very high rate of vaccination. We have zero reasons to panic. If we care, then we should be sharing the millions of unused vaccines we have with the countries that are less fortunate.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I comprehend vaccine hesitancy for marginalized communities in Canada, and populations in African nations.
That makes sense. Generations of oppression and exploitation.
But privileged white people?
Sympathy level about zero.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back in the day, Governments would fall for lesser negligence than what we've seen in Canada on COVID and are seeing now on climate change #cdnpoli #bcpoli",government,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not to mention, some developing countries are run by corrupt regimes. We can't blame or stigmatize the people who are victims.",government,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nspector4 What changed?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/2 Health Canada has clearly, unequivocally and repeatedly admitted that the long-term safety and efficacy of the designated COVID-19 drugs is unknown. Informed consent requires that the material risks and adverse effects be known before it can be provided.",covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The FDA Phase III clinical trials for the COVID-19 vaccine candidates won't be completed until 2023, other than Moderna's which is slated for completion on October 27, 2022. The long-term risks, adverse effects and efficacy cannot be known until these studies are completed.",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sunshine22kas @Carolyn_Bennett Maintain fear! Or nobody wants to attend  ,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Follow/retweet doesn't imply agreeance, eh. Views are my own, not the Braves, Liberty Media, the Country of Canada, or the Milky Way galaxy. Montreal Native. moose stan. Just had covid, so I'm rollin' in those antibodies, eh. Looking for a good first baseman, send ideas my way",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nspector4 Society changes at what seems to be a glacial pace. Since the 1970's I've been subjected to Climate Doomsday reports in the media. Do you wonder why people younger than us do not take the time to critically assess climate change? This iceberg will not be easily changed,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rabble435 @ProNovavax @gold_donkey Canada spent  the money to build a Manufacturing facility in Montreal for Novavax. Of course we will be using it,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@stewak2 @mtminahan @getserious1234 @Zhuzhuzhu2049 @rogertansey @megtirrell Since they will be manufacturing it in Canada, And built a facility for its production you are most likely wrong",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@BBB_Tulsa @ChristianWalk1r Wait, what? How do they know that?",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DavidHamer_1951 @JustinTrudeau Is that all?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@t_robic @AriCohn Lethbridge had the busiest safe consumption site in Canada and then the Conservatives shut it down when they assumed power. Overdose deaths skyrocketed on my rez. We lost over 90 people in a year in a pop of around 10K. Between that and covid and it's been grim here.,covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@SethZero1 @bitcoinpasada @nicebit_net Canada can't bar citizens from returning to their country, tell her to fuck right off.",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nspector4 MSM does little to justifiably hold Trudeau Liberals to account,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
